,core,peri,log2fc,pvalue
ETAA1,0.046640343113075,0.005811087430926,0.040829255682149,0.019587386751429
VAT1,0.120799771114474,0.079963721574415,0.04083604954006,0.251442416175755
GSK3A,0.173310426458851,0.132473751510468,0.040836674948383,0.355093005321788
BRPF1,0.06330084476682,0.022462706697821,0.040838138068999,0.088023117018146
MAN1C1,0.046476458429321,0.005637442199824,0.040839016229497,0.018659312328269
VKORC1L1,0.055083096525557,0.014234777187144,0.040848319338412,0.052440454266531
GLYCTK,0.053530132146667,0.012679103293794,0.040851028852873,0.040946115630514
DCLRE1C,0.076045684532013,0.035194070078933,0.04085161445308,0.120904141551984
POGK,0.052216938120823,0.011363380390563,0.04085355773026,0.034366469540862
IL21R,0.04086078723716,0,0.04086078723716,0.008163859212636
FKBP10,0.040884950960869,0,0.040884950960869,0.008180074291672
TSEN54,0.040887540708683,0,0.040887540708683,0.00821174748977
ZFAT,0.040892309137172,0,0.040892309137172,0.008304968204045
PLCB1,0.0605619765607,0.019659416086728,0.040902560473972,0.068391814937861
HIST1H3B,0.047597255784251,0.006692416134247,0.040904839650004,0.034034026789806
OTUD6B,0.048536770823714,0.007631281457388,0.040905489366326,0.029821234980302
RHOT1,0.151722012800309,0.110812891037134,0.040909121763176,0.319663705914052
HSD17B7,0.046170496748832,0.005259238309494,0.040911258439339,0.017063416879202
RNF215,0.040929978474316,0,0.040929978474316,0.008253261816146
EMC9,0.052912814364895,0.011972099358941,0.040940715005954,0.036461534105089
ZMYM3,0.052979755649841,0.012029952423426,0.040949803226415,0.036508974656771
CATSPER2,0.046924706053133,0.005969693462985,0.040955012590148,0.020177297460925
C19orf48,0.047032226253631,0.006052388198053,0.040979838055578,0.020507512238526
PCYOX1L,0.040982066410307,0,0.040982066410307,0.008154187582484
ALDH3B1,0.116799175180738,0.07581244592817,0.040986729252568,0.246107563715638
GSTZ1,0.047735565261102,0.006738380461728,0.040997184799374,0.024703283151493
PHETA1,0.040997571440882,0,0.040997571440882,0.008166546486385
LINC00484,0.040998967911865,0,0.040998967911865,0.008215549921122
TMEM64,0.046670173062758,0.005648782707249,0.041021390355509,0.018586252081899
TAF8,0.070710285176635,0.02968036798165,0.041029917194985,0.115956920776307
KPNA5,0.053530221371612,0.012489312257227,0.041040909114385,0.03949848343648
ACSM5,0.092963279216833,0.051920679957528,0.041042599259305,0.155847659070681
FAM189B,0.057969134148437,0.016924289741475,0.041044844406963,0.04823300264259
ZNF561,0.048862278956352,0.007813569649732,0.041048709306621,0.031351901103161
ZNF821,0.065672565786174,0.024621487873088,0.041051077913086,0.090606789754495
CNNM2,0.067085850462539,0.026018513694509,0.04106733676803,0.090060605072632
CARS2,0.210267913001102,0.169199126707269,0.041068786293833,0.413584282455047
BBS9,0.045893942719765,0.004805842943236,0.041088099776529,0.015158678368416
GATD1,0.054626025108783,0.013536233585103,0.04108979152368,0.046346100906832
AP4S1,0.048846009502894,0.007743375812279,0.041102633690614,0.03076180489372
MAP7D3,0.046556884454261,0.005453923443617,0.041102961010644,0.01798467206697
TPD52L1,0.041106593876704,0,0.041106593876704,0.008124893243524
ABCD3,0.048553130282953,0.007445835404943,0.04110729487801,0.029064062109329
CFAP20,0.056486003369688,0.015378199560063,0.041107803809625,0.049462986569444
EGLN2,0.335981034718114,0.294872537273417,0.041108497444696,0.532190447093629
MLH3,0.047020482488273,0.005909185394371,0.041111297093902,0.019927556523195
DUS4L,0.041126675274863,0,0.041126675274863,0.008206291491005
ZBTB33,0.062211926029175,0.021084688842032,0.041127237187143,0.078541416488733
FAM228B,0.099274811199459,0.058134702186779,0.04114010901268,0.1841130856848
LRIG1,0.04114549655641,0,0.04114549655641,0.008164166298251
NETO2,0.048070083841392,0.006916807015911,0.041153276825481,0.02493152841841
AC083862.3,0.056504434102817,0.015344730120214,0.041159703982603,0.059344318768419
ZNF212,0.041167343753409,0,0.041167343753409,0.008428382489018
AC005332.6,0.060693318382365,0.019514065816813,0.041179252565551,0.066018510001846
QRSL1,0.047983649857201,0.006799379449977,0.041184270407225,0.024715526439746
